Year,No. of candidates,Sat the PLE,Failed in PLE,Fail rate in PLE (%),Passed in PLE,Pass rate in PLE (%),Passed in specific exam
1995,3785.0,3290.0,2259.0,68.66,931.0,28.3,446.0
1996,3659.0,3181.0,2005.0,63.03,1127.0,35.43,540.0
1997,3589.0,3026.0,1956.0,64.64,1070.0,35.36,575.0
1998,3170.0,2762.0,1720.0,62.27,1042.0,37.73,584.0
1999,3387.0,3009.0,1929.0,64.11,1080.0,35.89,632.0
2000,3956.0,3459.0,2178.0,62.97,1281.0,37.03,702.0
2001,3658.0,3180.0,2045.0,64.31,1135.0,35.69,647.0
2002,3712.0,3227.0,2287.0,70.87,940.0,29.13,578.0
2003,4364.0,3794.0,2539.0,66.92,1255.0,33.08,732.0
2004,3865.0,3360.0,2489.0,74.08,871.0,25.92,667.0
