HE Institution,Type,Enrolled for the 1st time,23+ enrolled,% 23+,Enrolment rate (%)
Universidade Aberta,University,2202.0,727.0,33.02,61.0
Polytechnic Institute of Portalegre,Polytechnic,663.0,114.0,17.19,39.0
Polytechnic Institute of Setúbal,Polytechnic,1882.0,316.0,16.79,56.0
National Maritime College Prince Henry,Polytechnic,271.0,41.0,15.13,55.0
Polytechnic Institute of Beja,Polytechnic,914.0,128.0,14.0,48.0
Polytechnic Institute of Tomar,Polytechnic,630.0,85.0,13.49,30.0
University of Azores,University,1211.0,147.0,12.14,75.0
Polytechnic Institute of Viseu,Polytechnic,2018.0,179.0,8.87,53.0
University of Madeira,University,807.0,56.0,6.94,86.0
Polytechnic Institute of Guarda,Polytechnic,944.0,64.0,6.78,42.0
Polytechnic Institute of Viana do Castelo,Polytechnic,1501.0,98.0,6.53,64.0
University of Évora,University,2162.0,135.0,6.24,85.0
Polytechnic Institute of Santarém,Polytechnic,1139.0,69.0,6.06,52.0
Lisbon School of Nursing,Polytechnic,631.0,37.0,5.86,100.0
Polytechnic Institute of Cávado and Ave,Polytechnic,966.0,55.0,5.69,85.0
Polytechnic Institute of Coimbra,Polytechnic,3497.0,188.0,5.38,80.0
Polytechnic Institute of Porto,Polytechnic,6227.0,327.0,5.25,92.0
Polytechnic Institute of Lisbon,Polytechnic,4393.0,228.0,5.19,81.0
Polytechnic Institute of Bragança,Polytechnic,2272.0,116.0,5.11,33.0
University of Algarve,University,2753.0,139.0,5.05,66.0
University of Trás‐os‐ Montes and Alto,University,2519.0,113.0,4.49,89.0
Polytechnic Institute of Castelo Branco,Polytechnic,1313.0,59.0,4.49,51.0
University of Minho,University,5235.0,220.0,4.2,97.0
Polytechnic Institute of Leiria,Polytechnic,3402.0,143.0,4.2,68.0
Nursing School of Porto,Polytechnic,581.0,21.0,3.61,101.0
Nursing School of Coimbra,Polytechnic,738.0,25.0,3.39,108.0
NOVA University of Lisbon,University,6121.0,205.0,3.35,100.0
University of Aveiro,University,3720.0,109.0,2.93,91.0
University of Porto,University,9150.0,258.0,2.82,102.0
University of Lisbon,University,14363.0,388.0,2.7,98.0
University of Beira Interior,University,2553.0,55.0,2.15,88.0
University of Coimbra,University,7372.0,120.0,1.63,99.0
Estoril Higher Institute for Tourism and Hotel,Polytechnic,583.0,8.0,1.37,102.0
ISCTE—University,University,2096.0,24.0,1.15,103.0
