HE Institution,Type,1st time,23+ enrolled,% 23+,18-22 enrolled,% 18-22
Higher Institute of Languages and Administration of Santarém,University,29.0,24.0,82.76,5.0,17.24
"Higher Institute of Financial and Fiscal Studies, Porto",Polytechnic,80.0,58.0,72.5,22.0,27.5
Higher Institute of Languages and Administration of Leiria,University,36.0,26.0,72.22,10.0,27.78
"Higher Institute of Advanced Technologies of Lisbon, Porto",Polytechnic,37.0,25.0,67.57,12.0,32.43
Higher School of Real Estate Studies,University,116.0,77.0,66.38,39.0,33.62
Atlantic University,University,356.0,233.0,65.45,123.0,34.55
Higher Institute of Information and Administration Studies,Polytechnic,98.0,63.0,64.29,35.0,35.71
Higher Institute of Advanced Technologies of Lisbon,Polytechnic,120.0,73.0,60.83,47.0,39.17
Higher Institute of Health Studies of Alto Ave,Polytechnic,17.0,10.0,58.82,7.0,41.18
Autonomous Higher Institute of Polytechnic Studies,Polytechnic,7.0,4.0,57.14,3.0,42.86
Higher Institute of Paços de Brandão,Polytechnic,16.0,9.0,56.25,7.0,43.75
Dom Afonso III Higher Institute,University,41.0,23.0,56.1,18.0,43.9
Higher Institute of Educational Sciences,Polytechnic,282.0,156.0,55.32,126.0,44.68
Jean Piaget Higher School of Education of Almada,Polytechnic,33.0,18.0,54.55,15.0,45.45
Higher Institute of Administration Studies,Polytechnic,90.0,43.0,47.78,47.0,52.22
Higher Institute of Education and Science,University,287.0,136.0,47.39,151.0,52.61
Ribeiro Sanches Higher School of Health,Polytechnic,66.0,31.0,46.97,35.0,53.03
Portuguese Higher Institute of Marketing Management of Matosinhos (Aveiro),Polytechnic,122.0,57.0,46.72,65.0,53.28
D. Dinis Higher Institute,University,29.0,13.0,44.83,16.0,55.17
Higher Institute of Intercultural and Transdisciplinary Studies of Viseu,University,94.0,42.0,44.68,52.0,55.32
ISLA—Polytechnic Institute of Management and Technology,Polytechnic,165.0,70.0,42.42,95.0,57.58
Portuguese Higher Institute of Marketing Management of Lisbon,Polytechnic,127.0,53.0,41.73,74.0,58.27
Higher Institute of the New Professions,Polytechnic,93.0,38.0,40.86,55.0,59.14
Polytechnic Higher Institute of the West,Polytechnic,27.0,11.0,40.74,16.0,59.26
Luís de Camões Autonomous University of Lisbon,University,827.0,317.0,38.33,510.0,61.67
Higher Institute of Intercultural and Transdisciplinary Studies of Almada,University,134.0,48.0,35.82,86.0,64.18
Manuel Teixeira Gomes Higher Institute,University,134.0,47.0,35.07,87.0,64.93
Jean Piaget Higher School of Health—Algarve,Polytechnic,48.0,16.0,33.33,32.0,66.67
Polytechnic Higher Institute of Gaya,Polytechnic,119.0,37.0,31.09,82.0,68.91
Higher Institute of Business and Tourism,Polytechnic,89.0,27.0,30.34,62.0,69.66
Gallaecia Higher School,University,40.0,12.0,30.0,28.0,70.0
Higher Institute of Entre Douro and Vouga,Polytechnic,168.0,50.0,29.76,118.0,70.24
Lusophone University of Humanities and Technologies,University,2470.0,664.0,26.88,1806.0,73.12
Higher Institute of Educational Sciences of Felgueiras,Polytechnic,41.0,11.0,26.83,30.0,73.17
Higher School of Bank Management,Polytechnic,154.0,39.0,25.32,115.0,74.68
Lusíada University of Vila Nova de Famalicão,University,183.0,46.0,25.14,137.0,74.86
Higher Institute of Management,University,180.0,43.0,23.89,137.0,76.11
Jean Piaget Higher School of Health of Vila Nova de Gaia,Polytechnic,51.0,12.0,23.53,39.0,76.47
Higher Institute of Social Services of Porto,University,103.0,23.0,22.33,80.0,77.67
Jean Piaget Higher School of Technology and Management (Alentejo Coast),Polytechnic,19.0,4.0,21.05,15.0,78.95
Higher School of Nursing of the Portuguese Red Cross of Oliveira de Azeméis,Polytechnic,43.0,9.0,20.93,34.0,79.07
Lusophone University of Porto,University,644.0,130.0,20.19,514.0,79.81
Higher Institute of Administration and Management,Polytechnic,209.0,41.0,19.62,168.0,80.38
Higher School of Music of Gaia,Polytechnic,16.0,3.0,18.75,13.0,81.25
European University,University,864.0,158.0,18.29,706.0,81.71
Portuguese Higher Inst. of Marketing Management of Matosinhos,Polytechnic,232.0,41.0,17.67,191.0,82.33
Lusíada University,University,695.0,119.0,17.12,576.0,82.88
Higher Institute of Administration and Languages,Polytechnic,76.0,13.0,17.11,63.0,82.89
Higher School of Technologies of Fafe,Polytechnic,77.0,13.0,16.88,64.0,83.12
CESPU—Polytechnic Health Higher Institute of the North,Polytechnic,510.0,72.0,14.12,438.0,85.88
Higher School of Education of Fafe,Polytechnic,87.0,12.0,13.79,75.0,86.21
Egas Moniz Higher School of Health,Polytechnic,117.0,16.0,13.68,101.0,86.32
Lusíada University of Porto,University,523.0,71.0,13.58,452.0,86.42
Miguel Torga Institute,University,261.0,35.0,13.41,226.0,86.59
Jean Piaget Higher School of Health of Viseu,Polytechnic,53.0,6.0,11.32,47.0,88.68
João de Deus Higher School of Education,Polytechnic,78.0,8.0,10.26,70.0,89.74
Dr José Timóteo Montalvão Machado Higher School of Nursing,Polytechnic,95.0,9.0,9.47,86.0,90.53
Higher School of Health of Alcoitão,Polytechnic,173.0,12.0,6.94,161.0,93.06
Fernando Pessoa University,University,1128.0,77.0,6.83,1051.0,93.17
São Francisco das Misericórdias Higher School of Nursing,Polytechnic,60.0,4.0,6.67,56.0,93.33
"IADE‐U Institute of Art, Design and nterprise—University",University,539.0,32.0,5.94,507.0,94.06
ISPA—Higher Institute of Applied Psychology,University,373.0,22.0,5.9,351.0,94.1
Higher School of Health of The Portuguese Red Cross,Polytechnic,154.0,9.0,5.84,145.0,94.16
Saint Joseph of Cluny Higher School of Nursing,Polytechnic,70.0,4.0,5.71,66.0,94.29
Maia Academic Institute—ISMAI,University,1672.0,95.0,5.68,1577.0,94.32
Higher School of Technology and Fine Arts of Lisbon,Polytechnic,54.0,3.0,5.56,51.0,94.44
Higher Institute of Business Communication,University,72.0,4.0,5.56,68.0,94.44
Higher School of Arts of Porto,University,175.0,9.0,5.14,166.0,94.86
Higher National Academy of Orchestral Studies,Polytechnic,60.0,3.0,5.0,57.0,95.0
Egas Moniz Higher Institute of Health Sciences,University,543.0,20.0,3.68,523.0,96.32
Higher School of Art and Design,Polytechnic,374.0,13.0,3.48,361.0,96.52
Portucalense University Infante D. Henrique,University,646.0,19.0,2.94,627.0,97.06
Catholic University of Portugal,University,3435.0,85.0,2.47,3350.0,97.53
Higher School of Nursing of Santa Maria,Polytechnic,168.0,3.0,1.79,165.0,98.21
Vasco da Gama University School,University,66.0,1.0,1.52,65.0,98.48
Higher Institute of Health Sciences—North,University,537.0,5.0,0.93,532.0,99.07
Higher School of Arts of Porto (Guimarães),Polytechnic,36.0,0.0,0.0,36.0,100.0
Higher School of Education of Paula Frassinetti,Polytechnic,128.0,0.0,0.0,128.0,100.0
